"","subj_id","list_id","item_id","A","Y"
"1",1,2,1,"A2",393.541388924177
"2",1,2,2,"A2",395.862757653302
"3",1,2,3,"A2",406.802286950451
"4",1,2,4,"A2",386.719080230693
"5",1,2,5,"A2",396.438408842533
"6",1,2,6,"A2",404.734003849862
"7",1,2,7,"A2",404.708578125404
"8",1,2,8,"A2",399.45095642133
"9",1,2,9,"A2",411.363759487252
"10",1,2,10,"A2",397.670597011811
"11",1,2,11,"A2",397.348435274625
"12",1,2,12,"A2",402.290784424903
"13",1,2,13,"A2",396.7088778774
"14",1,2,14,"A2",404.386386021597
"15",1,2,15,"A2",401.624122257449
"16",1,2,16,"A2",404.088304707201
"17",1,2,17,"A2",396.630630594264
"18",1,2,18,"A2",406.346607145893
"19",1,2,19,"A2",405.355170822507
"20",1,2,20,"A2",394.501037113544
"21",1,2,21,"A1",296.786809865398
"22",1,2,22,"A1",291.133705916707
"23",1,2,23,"A1",306.578123321001
"24",1,2,24,"A1",292.82555773836
"25",1,2,25,"A1",305.346224122711
"26",1,2,26,"A1",303.001885077291
"27",1,2,27,"A1",282.308945748282
"28",1,2,28,"A1",281.954806119916
"29",1,2,29,"A1",286.370889687958
"30",1,2,30,"A1",295.806303171129
"31",1,2,31,"A1",302.027417432896
"32",1,2,32,"A1",282.656710780392
"33",1,2,33,"A1",294.043231940577
"34",1,2,34,"A1",295.212702109993
"35",1,2,35,"A1",306.653583644426
"36",1,2,36,"A1",313.367508040387
"37",1,2,37,"A1",306.383130082011
"38",1,2,38,"A1",297.619300628583
"39",1,2,39,"A1",304.174358110867
"40",1,2,40,"A1",308.342815015879
"41",2,1,1,"A1",291.57212705913
"42",2,1,2,"A1",310.628127135872
"43",2,1,3,"A1",303.839620998786
"44",2,1,4,"A1",292.091467845897
"45",2,1,5,"A1",300.231875710198
"46",2,1,6,"A1",306.739959493311
"47",2,1,7,"A1",310.444987893792
"48",2,1,8,"A1",313.9602796146
"49",2,1,9,"A1",299.292030528915
"50",2,1,10,"A1",315.39349710703
"51",2,1,11,"A1",311.135581594973
"52",2,1,12,"A1",302.787204818641
"53",2,1,13,"A1",290.362630208956
"54",2,1,14,"A1",301.81135407067
"55",2,1,15,"A1",310.56007824627
"56",2,1,16,"A1",318.728193811719
"57",2,1,17,"A1",302.129946787858
"58",2,1,18,"A1",310.891353377131
"59",2,1,19,"A1",327.586023196456
"60",2,1,20,"A1",301.8677941103
"61",2,1,21,"A2",395.662596914676
"62",2,1,22,"A2",398.586169035614
"63",2,1,23,"A2",402.502572951939
"64",2,1,24,"A2",390.336180239119
"65",2,1,25,"A2",399.873277408882
"66",2,1,26,"A2",404.355148862792
"67",2,1,27,"A2",398.996909019582
"68",2,1,28,"A2",397.654708203082
"69",2,1,29,"A2",401.014009034823
"70",2,1,30,"A2",399.695453785523
